Batch Id,mlp_up_proj,mlp_activation,mlp_down_proj,mlp_down_proj_all_reduce,attn_pre_proj,attn_post_proj,attn_post_proj_all_reduce,attn_prefill,attn_kv_cache_save,attn_decode,attn_rope,pipeline_send_recv,add,input_layernorm,post_attention_layernorm,schedule,sample_e2e,prepare_inputs_e2e,model_execution_e2e,process_model_outputs,ray_comm_time,replica
0,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.064582,0.211820,0.000000,0.005994,0,0.008200,0.007000,0.007000,0,0,0,21.143599,0,0,0
1,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.075216,0.211820,0.000000,0.005994,0,0.008200,0.007000,0.007000,0,0,0,21.483897,0,0,0
2,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.090783,0.211820,0.000000,0.005994,0,0.008200,0.007000,0.007000,0,0,0,21.982055,0,0,0
3,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.104652,0.211820,0.000000,0.005994,0,0.008200,0.007000,0.007000,0,0,0,22.425848,0,0,0
5,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.119616,0.211820,0.000000,0.005994,0,0.008200,0.007000,0.007000,0,0,0,22.904712,0,0,0
7,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.135615,0.211820,0.000000,0.005994,0,0.008200,0.007000,0.007000,0,0,0,23.416681,0,0,0
9,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.148845,0.211820,0.000000,0.005994,0,0.008200,0.007000,0.007000,0,0,0,23.840013,0,0,0
11,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.166179,0.211820,0.000000,0.005994,0,0.008200,0.007000,0.007000,0,0,0,24.394713,0,0,0
13,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.180647,0.211820,0.000000,0.005994,0,0.008200,0.007000,0.007000,0,0,0,24.857697,0,0,0
16,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.192958,0.211820,0.000000,0.005994,0,0.008200,0.007000,0.007000,0,0,0,25.251650,0,0,0
18,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.208739,0.211820,0.000000,0.005994,0,0.008200,0.007000,0.007000,0,0,0,25.756633,0,0,0
20,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.222565,0.211820,0.000000,0.005994,0,0.008200,0.007000,0.007000,0,0,0,26.199071,0,0,0
22,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.232571,0.211820,0.000000,0.005994,0,0.008200,0.007000,0.007000,0,0,0,26.519272,0,0,0
24,0.176398,0.022004,0.084450,0,0.045401,0.031989,0,0.248878,0.211820,0.000000,0.005994,0,0.008200,0.007000,0.007000,0,0,0,27.041094,0,0,0
27,0.089190,0.007536,0.055954,0,0.025155,0.019000,0,0.080857,0.008394,0.000000,0.003000,0,0.004000,0.004000,0.004000,0,0,0,9.570757,0,0,0
29,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
30,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
33,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
34,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
35,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
38,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
39,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
40,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
42,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
44,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
