batch_id,request_id,slo_type,slo_remaining_ms,only_in_queue,added_in_last_batch,request_type_after_batch,kv_context_len_tokens,prefill_len_tokens,prefill_remaining_tokens,replica
0,0,TTFT,0,False,True,prefill,512,7270,6758,0
1,0,TTFT,0,False,True,prefill,1024,7270,6246,0
2,0,TTFT,0,False,True,prefill,1536,7270,5734,0
3,0,TTFT,0,False,True,prefill,2048,7270,5222,0
5,0,TTFT,0,False,True,prefill,2560,7270,4710,0
7,0,TTFT,0,False,True,prefill,3072,7270,4198,0
9,0,TTFT,0,False,True,prefill,3584,7270,3686,0
11,0,TTFT,0,False,True,prefill,4096,7270,3174,0
13,0,TTFT,0,False,True,prefill,4608,7270,2662,0
16,0,TTFT,0,False,True,prefill,5120,7270,2150,0
18,0,TTFT,0,False,True,prefill,5632,7270,1638,0
20,0,TTFT,0,False,True,prefill,6144,7270,1126,0
22,0,TTFT,0,False,True,prefill,6656,7270,614,0
24,0,TTFT,0,False,True,prefill,7168,7270,102,0
27,0,TBT,0,False,True,decode,7264,7270,0,0
29,0,TBT,0,False,True,decode,7264,7270,0,0
30,0,TBT,0,False,True,decode,7264,7270,0,0
33,0,TBT,0,False,True,decode,7264,7270,0,0
34,0,TBT,0,False,True,decode,7264,7270,0,0
35,0,TBT,0,False,True,decode,7264,7270,0,0
38,0,TBT,0,False,True,decode,7264,7270,0,0
39,0,TBT,0,False,True,decode,7264,7270,0,0
40,0,TBT,0,False,True,decode,7264,7270,0,0
42,0,TBT,0,False,True,decode,7280,7270,0,0
44,0,TBT,0,False,True,decode,7280,7270,0,0
45,0,TBT,0,False,True,decode,7280,7270,0,0
47,0,TBT,0,False,True,decode,7280,7270,0,0
49,0,TBT,0,False,True,decode,7280,7270,0,0
50,0,TBT,0,False,True,decode,7280,7270,0,0
53,0,TBT,0,False,True,decode,7280,7270,0,0
55,0,TBT,0,False,True,decode,7280,7270,0,0
58,0,TBT,0,False,True,decode,7280,7270,0,0
61,0,TBT,0,False,True,decode,7280,7270,0,0
64,0,TBT,0,False,True,decode,7280,7270,0,0
67,0,TBT,0,False,True,decode,7280,7270,0,0
71,0,TBT,0,False,True,decode,7280,7270,0,0
73,0,TBT,0,False,True,decode,7280,7270,0,0
76,0,TBT,0,False,True,decode,7280,7270,0,0
80,0,TBT,0,False,True,decode,7280,7270,0,0
83,0,TBT,0,False,True,decode,7296,7270,0,0
85,0,TBT,0,False,True,decode,7296,7270,0,0
88,0,TBT,0,False,True,decode,7296,7270,0,0
92,0,TBT,0,False,True,decode,7296,7270,0,0
94,0,TBT,0,False,True,decode,7296,7270,0,0
97,0,TBT,0,False,True,decode,7296,7270,0,0
101,0,TBT,0,False,True,decode,7296,7270,0,0
103,0,TBT,0,False,True,decode,7296,7270,0,0
107,0,TBT,0,False,True,decode,7296,7270,0,0
111,0,TBT,0,False,True,decode,7296,7270,0,0
115,0,TBT,0,False,True,decode,7296,7270,0,0
119,0,TBT,0,False,True,decode,7296,7270,0,0
122,0,TBT,0,False,True,decode,7296,7270,0,0
126,0,TBT,0,False,True,decode,7296,7270,0,0
130,0,TBT,0,False,True,decode,7296,7270,0,0
133,0,TBT,0,False,True,decode,7296,7270,0,0
137,0,TBT,0,False,True,decode,7312,7270,0,0
141,0,TBT,0,False,True,decode,7312,7270,0,0
144,0,TBT,0,False,True,decode,7312,7270,0,0
147,0,TBT,0,False,True,decode,7312,7270,0,0
152,0,TBT,0,False,True,decode,7312,7270,0,0
156,0,TBT,0,False,True,decode,7312,7270,0,0
160,0,TBT,0,False,True,decode,7312,7270,0,0
165,0,TBT,0,False,True,decode,7312,7270,0,0
169,0,TBT,0,False,True,decode,7312,7270,0,0
173,0,TBT,0,False,True,decode,7312,7270,0,0
177,0,TBT,0,False,True,decode,7312,7270,0,0
182,0,TBT,0,False,True,decode,7312,7270,0,0
186,0,TBT,0,False,True,decode,7312,7270,0,0
190,0,TBT,0,False,True,decode,7312,7270,0,0
195,0,TBT,0,False,True,decode,7312,7270,0,0
199,0,TBT,0,False,True,decode,7312,7270,0,0
203,0,TBT,0,False,True,decode,7328,7270,0,0
208,0,TBT,0,False,True,decode,7328,7270,0,0
212,0,TBT,0,False,True,decode,7328,7270,0,0
216,0,TBT,0,False,True,decode,7328,7270,0,0
220,0,TBT,0,False,True,decode,7328,7270,0,0
226,0,TBT,0,False,True,decode,7328,7270,0,0
231,0,TBT,0,False,True,decode,7328,7270,0,0
236,0,TBT,0,False,True,decode,7328,7270,0,0
240,0,TBT,0,False,True,decode,7328,7270,0,0
244,0,TBT,0,False,True,decode,7328,7270,0,0
250,0,TBT,0,False,True,decode,7328,7270,0,0
254,0,TBT,0,False,True,decode,7328,7270,0,0
259,0,TBT,0,False,True,decode,7328,7270,0,0
263,0,TBT,0,False,True,decode,7328,7270,0,0
267,0,TBT,0,False,True,decode,7328,7270,0,0
272,0,TBT,0,False,True,decode,7328,7270,0,0
276,0,TBT,0,False,True,decode,7344,7270,0,0
280,0,TBT,0,False,True,decode,7344,7270,0,0
285,0,TBT,0,False,True,decode,7344,7270,0,0
289,0,TBT,0,False,True,decode,7344,7270,0,0
293,0,TBT,0,False,True,decode,7344,7270,0,0
298,0,TBT,0,False,True,decode,7344,7270,0,0
302,0,TBT,0,False,True,decode,7344,7270,0,0
306,0,TBT,0,False,True,decode,7344,7270,0,0
311,0,TBT,0,False,True,decode,7344,7270,0,0
315,0,TBT,0,False,True,decode,7344,7270,0,0
319,0,TBT,0,False,True,decode,7344,7270,0,0
324,0,TBT,0,False,True,decode,7344,7270,0,0
328,0,TBT,0,False,True,decode,7344,7270,0,0
332,0,TBT,0,False,True,decode,7344,7270,0,0
337,0,TBT,0,False,True,decode,7344,7270,0,0
341,0,TBT,0,False,True,decode,7344,7270,0,0
345,0,TBT,0,False,True,decode,7360,7270,0,0
351,0,TBT,0,False,True,decode,7360,7270,0,0
355,0,TBT,0,False,True,decode,7360,7270,0,0
360,0,TBT,0,False,True,decode,7360,7270,0,0
365,0,TBT,0,False,True,decode,7360,7270,0,0
369,0,TBT,0,False,True,decode,7360,7270,0,0
374,0,TBT,0,False,True,decode,7360,7270,0,0
379,0,TBT,0,False,True,decode,7360,7270,0,0
383,0,TBT,0,False,True,decode,7360,7270,0,0
390,0,TBT,0,False,True,decode,7360,7270,0,0
395,0,TBT,0,False,True,decode,7360,7270,0,0
400,0,TBT,0,False,True,decode,7360,7270,0,0
406,0,TBT,0,False,True,decode,7360,7270,0,0
411,0,TBT,0,False,True,decode,7360,7270,0,0
416,0,TBT,0,False,True,decode,7360,7270,0,0
422,0,TBT,0,False,True,decode,7360,7270,0,0
427,0,TBT,0,False,True,decode,7376,7270,0,0
432,0,TBT,0,False,True,decode,7376,7270,0,0
438,0,TBT,0,False,True,decode,7376,7270,0,0
443,0,TBT,0,False,True,decode,7376,7270,0,0
448,0,TBT,0,False,True,decode,7376,7270,0,0
455,0,TBT,0,False,True,decode,7376,7270,0,0
460,0,TBT,0,False,True,decode,7376,7270,0,0
465,0,TBT,0,False,True,decode,7376,7270,0,0
471,0,TBT,0,False,True,decode,7376,7270,0,0
477,0,TBT,0,False,True,decode,7376,7270,0,0
482,0,TBT,0,False,True,decode,7376,7270,0,0
482,8,TTFT,0,True,False,prefill,512,11010,10498,0
488,0,TBT,0,False,True,decode,7376,7270,0,0
488,8,TTFT,0,False,True,prefill,1008,11010,10002,0
503,0,TBT,0,False,True,decode,7376,7270,0,0
503,8,TTFT,0,False,True,prefill,1520,11010,9490,0
517,0,TBT,0,False,True,decode,7376,7270,0,0
517,8,TTFT,0,False,True,prefill,2032,11010,8978,0
534,0,TBT,0,False,True,decode,7376,7270,0,0
534,8,TTFT,0,False,True,prefill,2544,11010,8466,0
548,0,TBT,0,False,True,decode,7376,7270,0,0
548,8,TTFT,0,False,True,prefill,3056,11010,7954,0
562,0,TBT,0,False,True,decode,7392,7270,0,0
562,8,TTFT,0,False,True,prefill,3568,11010,7442,0
