Time (sec),request_completion
3.0805353672181948,1
7.753052043484027,2
8.4949598532386,3
9.273673050970123,4
9.402280313031682,5
13.299509838732586,6
21.71405791902802,7
24.961996603056104,8
25.693572456787777,9
26.07022755436907,10
26.66025455616963,11
27.056031710272137,12
32.73966889777324,13
33.32244281894313,14
34.291837365812846,15
34.324719114128236,16
34.45756029295319,17
34.57246062279075,18
34.60152888656214,19
36.72867843928476,20
37.259180859873766,21
38.84593312144922,22
39.44116212533423,23
39.85171259070514,24
40.63267610660805,25
41.800283681354074,26
42.09601737724397,27
43.45576194309373,28
46.13030542725794,29
46.17216087874133,30
47.07400001669686,31
47.399360364911374,32
47.59246831299804,33
49.00041602808713,34
49.91054675444972,35
50.319708327569174,36
53.32232408679783,37
54.68235701053574,38
55.069327082654254,39
55.987719571083,40
56.051077122369776,41
56.21634090394673,42
57.20303275780599,43
57.5250020378605,44
57.804896982683005,45
58.04246018495013,46
58.105956009004906,47
58.766315002375485,48
58.90636011915705,49
59.030384172258614,50
59.18895374669495,51
60.20322805994634,52
60.776767050830145,53
60.83267558989293,54
62.98439132842299,55
63.649628777948955,56
66.02124211411993,57
66.8692737497213,58
67.10244415957703,59
68.35721747861581,60
68.45661801162598,61
69.1756072316113,62
70.7985612566612,63
70.8474528804326,64
70.89574248436399,65
72.27885364543219,66
72.89338732627994,67
73.2652319200166,68
75.62154136756627,69
76.8514899122413,70
77.28727484058815,71
77.34867160800293,72
78.37199032154682,73
79.34083558033419,74
79.79836255011641,75
80.34162282526083,76
80.92267496318924,77
80.99247141418802,78
85.42098024750013,79
85.95480291606177,80
87.94968208095139,81
91.76553161243105,82
94.10804850349142,83
94.67226968280964,84
94.67226968280964,85
96.66851048227704,86
100.08771346251682,87
101.51820570354002,88
103.42083319819378,89
105.47802211765165,90
106.93003331585814,91
110.57453494513044,92
116.12862536021082,93
119.3199795458034,94
124.07278651560848,95
125.438313827241,96
127.701628132701,97
132.3232644828428,98
134.97825536764913,99
135.62325797639812,100
137.21952555083328,101
138.59726913046197,102
139.40660713433797,103
143.69199804939174,104
143.9438971188499,105
144.63557082778362,106
145.67485571952247,107
145.67485571952247,108
145.70493082310185,109
146.4461627455036,110
146.5083330855264,111
147.1796710641862,112
147.58298130060166,113
149.06008829179555,114
149.15110541633032,115
149.19695590550972,116
149.2893731206685,117
152.89633396447866,118
152.96576924828204,119
156.2968708455382,120
156.67966407118914,121
157.1317911549463,122
157.69491247908945,123
158.46488060470048,124
158.67827637000605,125
159.02388925941992,126
159.1237283858615,127
159.97750295985753,128
