cdf,model_execution_e2e,replica
0.0,7.614220887373002,0
0.01,7.614220887373002,0
0.02,7.768043531562354,0
0.03,7.768043531562354,0
0.04,7.768043531562354,0
0.05,7.768043531562354,0
0.06,7.768043531562354,0
0.07,7.768043531562354,0
0.08,7.768043531562354,0
0.09,8.085074182784162,0
0.1,8.085074182784162,0
0.11,8.758479660718843,0
0.12,8.758479660718843,0
0.13,8.935418643763667,0
0.14,9.30009239720775,0
0.15,9.30009239720775,0
0.16,9.679649274963399,0
0.17,9.679649274963399,0
0.18,9.679649274963399,0
0.19,23.337348188479655,0
0.2,25.281114906669426,0
0.21,25.281114906669426,0
0.22,25.791844500743554,0
0.23,26.312891864394942,0
0.24,26.312891864394942,0
0.25,26.84446543741302,0
0.26,26.84446543741302,0
0.27,26.84446543741302,0
0.28,27.386777870492075,0
0.29,27.386777870492075,0
0.3,27.940046110299996,0
0.31,27.940046110299996,0
0.32,27.940046110299996,0
0.33,28.504491486265653,0
0.34,28.504491486265653,0
0.35000000000000003,28.504491486265653,0
0.36,29.080339799119507,0
0.37,29.080339799119507,0
0.38,29.66782141122293,0
0.39,29.66782141122293,0
0.4,29.66782141122293,0
0.41000000000000003,30.267171338722385,0
0.42,30.267171338722385,0
0.43,30.267171338722385,0
0.44,30.878629345565244,0
0.45,30.878629345565244,0
0.46,31.50244003941505,0
0.47000000000000003,31.50244003941505,0
0.48,31.50244003941505,0
0.49,32.13885296950424,0
0.5,32.13885296950424,0
0.51,32.13885296950424,0
0.52,32.788122726463925,0
0.53,32.788122726463925,0
0.54,32.788122726463925,0
0.55,33.45050904417027,0
0.56,33.45050904417027,0
0.5700000000000001,33.45050904417027,0
0.58,34.12627690364846,0
0.59,34.12627690364846,0
0.6,34.8156966390757,0
0.61,34.8156966390757,0
0.62,35.51904404592572,0
0.63,35.51904404592572,0
0.64,35.51904404592572,0
0.65,36.236600491297956,0
0.66,36.236600491297956,0
0.67,36.96865302647569,0
0.68,36.96865302647569,0
0.6900000000000001,37.71549450175803,0
0.7000000000000001,38.47742368361173,0
0.71,38.47742368361173,0
0.72,39.254745374189746,0
0.73,39.254745374189746,0
0.74,40.047770533264284,0
0.75,40.85681640262316,0
0.76,41.682206632979195,0
0.77,41.682206632979195,0
0.78,42.52427141344339,0
0.79,43.38334760361396,0
0.8,44.25977886833345,0
0.81,45.15391581516847,0
0.8200000000000001,46.06611613466682,0
0.8300000000000001,46.99674474344797,0
0.84,47.946173930184294,0
0.85,49.90296094906744,0
0.86,50.91110157430113,0
0.87,52.98889370058625,0
0.88,54.0593764016082,0
0.89,56.26565643024235,0
0.9,59.74504981014625,0
0.91,62.18337446314682,0
0.92,64.72121241695345,0
0.93,67.36262502452222,0
0.9400000000000001,71.52824018719001,0
0.9500000000000001,74.44746231502144,0
0.96,79.05119439536568,0
0.97,82.2774445492424,0
0.98,87.36537231979938,0
0.99,98.5045762687935,0
1.0,115.59680764552783,0
