game_id,root_id,sim_iteration,root_depth,root_node_id,root_player,phase,node_depth,parent_node_id,node_id,player_acted_to_create_this_node,player_to_act_in_this_node,action_index,action_repr,prior,model_prior_json,normalized_prior_json,reward,nn_called,num_valid_actions,unique_actions,nn_value_controller,objective_cost,sim_time,requests_in_system,requests_generated,requests_completed,slo_violations,avg_lateness,state_waiting_ids,state_completed_request_ids,adversary_requests,adversary_prefill_slos,adversary_prefill_deadlines_by_id,adversary_decode_slos,controller_token_budget,controller_selected_ids,controller_allocations,controller_prefill_allocations,controller_decode_allocations,controller_prefill_total,controller_decode_total,controller_heuristic,controller_strategy
3,0,0,0,0,adversary,multiple-child,1,0,6,adversary,controller,5,"AdversaryAction(requests=[AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05)], stop_decode_ids=[])",0.5,"[0.03920567408204079, 0.03803233429789543, 0.0526055283844471, 0.05347104370594025, 0.03956584632396698, 0.0307761337608099, 0.029377810657024384, 0.03574194759130478, 0.03798234462738037, 0.03839024528861046, 0.03815215080976486, 0.039642058312892914, 0.03906702995300293, 0.03347553312778473, 0.03959064185619354, 0.04520167037844658, 0.039709728211164474, 0.056574758142232895, 0.03919019177556038, 0.05300168693065643, 0.052513182163238525, 0.03671601042151451, 0.04486697167158127, 0.04714956507086754]","[0.03920567064980693, 0.0380323309683808, 0.052605523779132184, 0.05347103902485439, 0.039565842860202094, 0.03077613106653437, 0.029377808085164093, 0.03574194446230048, 0.037982341302242054, 0.038390241927762754, 0.03815214746976098, 0.0396420548424561, 0.03906702653290658, 0.033475530197192134, 0.03959063839025795, 0.04520166642129734, 0.039709724734803546, 0.05657475318943448, 0.03919018834468191, 0.053001682290660095, 0.052513177566008, 0.036716007207236556, 0.044866967743733, 0.04714956094319119]",-0.0,True,24,6,-1.0835161209106445,0.0,0.0,6,6,0,0,0.0,"[0, 1, 2, 3, 4, 5]",[],[],[],"{""0"": 0.3874467952163693, ""1"": 0.3874467952163693, ""2"": 0.3874467952163693, ""3"": 0.3874467952163693, ""4"": 0.3874467952163693, ""5"": 0.3874467952163693}",[],,[],{},{},{},0,0,,
3,0,1,0,0,adversary,forced_step:single-child,2,6,11,controller,adversary,16,"ControllerAction(token_budget=2560, selected_request_ids=[0], token_allocations={0: 2560}, prefill_allocations={0: 2560}, decode_allocations={}, heuristic='SJF', strategy='Fixed', mapping=None)",0.18847634855958004,[],[],-0.0,False,1,0,,0.0,0.11078464659957436,6,6,0,0,0.0,"[0, 1, 2, 3, 4, 5]",[],[],[],{},[],,[],{},{},{},0,0,,
3,0,1,0,0,adversary,trivial-multiple-child,3,11,13,adversary,controller,0,"AdversaryAction(requests=[], stop_decode_ids=[])",1.0,"[0.03924218565225601, 0.03805721923708916, 0.052553191781044006, 0.05344940721988678, 0.039698418229818344, 0.030887650325894356, 0.02937360480427742, 0.03569605201482773, 0.03792748227715492, 0.03831598535180092, 0.038187120109796524, 0.039749160408973694, 0.03914719447493553, 0.033545129001140594, 0.03961452841758728, 0.04520631581544876, 0.039772361516952515, 0.0564412847161293, 0.03915939852595329, 0.052894625812768936, 0.05236595869064331, 0.036679599434137344, 0.04487951472401619, 0.047156598418951035]","[0.039242186163915886, 0.03805721973329883, 0.052553192466259654, 0.05344940791678775, 0.039698418747426814, 0.030887650728623487, 0.029373605187265645, 0.03569605248025128, 0.037927482771673016, 0.038315985851384515, 0.03818712060769991, 0.03974916092724377, 0.03914719498535686, 0.033545129438519304, 0.03961452893410195, 0.04520631640487204, 0.039772362035525095, 0.05644128545203991, 0.039159399036533746, 0.05289462650243638, 0.05236595937341772, 0.0366795999123849, 0.04487951530917847, 0.047156599033803114]",-0.0,True,24,12,-1.0773698091506958,0.0,0.11078464659957436,6,6,0,0,0.0,"[0, 1, 2, 3, 4, 5]",[],[],[],{},[],,[],{},{},{},0,0,,
3,0,2,0,0,adversary,multiple-child,1,0,3,adversary,controller,2,"AdversaryAction(requests=[AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05)], stop_decode_ids=[])",0.1,"[0.039230670779943466, 0.038251813501119614, 0.052111830562353134, 0.05298372358083725, 0.03964152932167053, 0.031226109713315964, 0.02970327064394951, 0.03608017787337303, 0.03806638345122337, 0.03850623592734337, 0.03825290873646736, 0.03973575681447983, 0.039197955280542374, 0.03367727994918823, 0.03965307027101517, 0.04498651251196861, 0.039786119014024734, 0.056134182959795, 0.03914015740156174, 0.052536219358444214, 0.052179086953401566, 0.03707567974925041, 0.04478110000491142, 0.04706214368343353]","[0.03923067399514775, 0.038251816636100285, 0.05211183483325081, 0.052983727923192135, 0.0396415325705473, 0.03122611227249529, 0.029703273078322438, 0.03608018083037428, 0.03806638657100687, 0.03850623908317558, 0.038252911871537794, 0.03973576007107914, 0.03919795849306541, 0.03367728270925663, 0.03965307352083779, 0.04498651619890092, 0.03978612227475155, 0.05613418756035017, 0.03914016060934787, 0.05253622366412326, 0.052179091229811334, 0.037075682787839404, 0.044781103675008864, 0.047062147540477085]",-0.0,True,24,6,-1.058266043663025,0.0,0.0,3,3,0,0,0.0,"[0, 1, 2]",[],[],[],"{""0"": 0.3874467952163693, ""1"": 0.3874467952163693, ""2"": 0.3874467952163693}",[],,[],{},{},{},0,0,,
3,0,3,0,0,adversary,multiple-child,1,0,5,adversary,controller,4,"AdversaryAction(requests=[AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05)], stop_decode_ids=[])",0.1,"[0.03921617940068245, 0.03813847899436951, 0.05236896872520447, 0.05324455350637436, 0.039594028145074844, 0.03098057024180889, 0.02952698990702629, 0.03589516505599022, 0.038012851029634476, 0.03843917325139046, 0.03820470720529556, 0.03968140855431557, 0.03912653401494026, 0.03358112648129463, 0.039629146456718445, 0.04510306194424629, 0.039751239120960236, 0.056377213448286057, 0.039171379059553146, 0.05279527232050896, 0.05235487222671509, 0.03687725216150284, 0.04482615739107132, 0.047103673219680786]","[0.03921617932763662, 0.038138478923331054, 0.05236896862765966, 0.05324455340719865, 0.03959402807132522, 0.030980570184103082, 0.029526989852027986, 0.035895164989130264, 0.03801285095883002, 0.03843917317979192, 0.03820470713413375, 0.039681408480403184, 0.03912653394206141, 0.03358112641874491, 0.03962914638290341, 0.04510306186023529, 0.03975123904691778, 0.05637721334327531, 0.03917137898659077, 0.0527952722221701, 0.05235487212919654, 0.0368772520928136, 0.044826157307576095, 0.04710367313194336]",-0.0,True,24,6,-1.0720809698104858,0.0,0.0,5,5,0,0,0.0,"[0, 1, 2, 3, 4]",[],[],[],"{""0"": 0.3874467952163693, ""1"": 0.3874467952163693, ""2"": 0.3874467952163693, ""3"": 0.3874467952163693, ""4"": 0.3874467952163693}",[],,[],{},{},{},0,0,,
3,0,4,0,0,adversary,multiple-child,1,0,2,adversary,controller,1,"AdversaryAction(requests=[AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05)], stop_decode_ids=[])",0.1,"[0.03923904150724411, 0.03827403113245964, 0.0520586296916008, 0.05292285233736038, 0.03966354578733444, 0.03128664568066597, 0.029743462800979614, 0.036127325147390366, 0.0380883663892746, 0.038526751101017, 0.03824007511138916, 0.03975697606801987, 0.03920980542898178, 0.03367951512336731, 0.03965075686573982, 0.04497256502509117, 0.039780400693416595, 0.056065600365400314, 0.03912334144115448, 0.05246690288186073, 0.052145686000585556, 0.03714459016919136, 0.04476974904537201, 0.04706336930394173]","[0.0392390420919514, 0.038274031702787155, 0.052058630467334846, 0.05292285312597235, 0.03966354637836734, 0.03128664614687333, 0.029743463244191755, 0.03612732568572947, 0.03808836695683549, 0.038526751675110334, 0.03824007568121069, 0.03975697666044498, 0.03920980601325342, 0.0336795156252312, 0.03965075745658215, 0.04497256569523462, 0.039780401286190765, 0.05606560120084288, 0.039123342024137704, 0.052466903663678524, 0.05214568677761684, 0.03714459072268889, 0.04476974971249326, 0.04706337000524059]",-0.0,True,24,6,-1.0547956228256226,0.0,0.0,2,2,0,0,0.0,"[0, 1]",[],[],[],"{""0"": 0.3874467952163693, ""1"": 0.3874467952163693}",[],,[],{},{},{},0,0,,
3,0,5,0,0,adversary,multiple-child,1,0,4,adversary,controller,3,"AdversaryAction(requests=[AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05), AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05)], stop_decode_ids=[])",0.1,"[0.03922325372695923, 0.03820643573999405, 0.052220892161130905, 0.05309367552399635, 0.039618443697690964, 0.031118934974074364, 0.029628438875079155, 0.0359991192817688, 0.038042377680540085, 0.03847429156303406, 0.03823602572083473, 0.03970964252948761, 0.039166852831840515, 0.033641085028648376, 0.03964618965983391, 0.045036666095256805, 0.03977435082197189, 0.056239787489175797, 0.03915577754378319, 0.052650727331638336, 0.05225149542093277, 0.036989614367485046, 0.0448000393807888, 0.04707596078515053]","[0.03922325065848133, 0.03820643275106293, 0.05222088807583358, 0.05309367137042024, 0.039618440598296924, 0.031118932539606157, 0.02962843655721408, 0.035999116465518455, 0.0380423747044434, 0.038474288553148286, 0.03823602272958876, 0.039709639422958985, 0.03916684976777492, 0.03364108239686962, 0.03964618655826927, 0.04503666257198932, 0.03977434771038107, 0.05623978308947591, 0.03915577448058402, 0.05265072321271454, 0.05225149133324132, 0.03698961147374719, 0.04480003587603288, 0.04707595710234679]",-0.0,True,24,6,-1.0643750429153442,0.0,0.0,4,4,0,0,0.0,"[0, 1, 2, 3]",[],[],[],"{""0"": 0.3874467952163693, ""1"": 0.3874467952163693, ""2"": 0.3874467952163693, ""3"": 0.3874467952163693}",[],,[],{},{},{},0,0,,
3,0,6,0,0,adversary,multiple-child,1,0,1,adversary,controller,0,"AdversaryAction(requests=[AdversaryRequestSpec(prefill_tokens=3072, decode_tokens=5000, prefill_slo=0.3874467952163693, decode_slo=0.05)], stop_decode_ids=[])",0.1,"[0.0392441563308239, 0.038290102034807205, 0.05203602835536003, 0.05288684740662575, 0.03968429192900658, 0.03132161870598793, 0.02976641245186329, 0.036153290420770645, 0.038111139088869095, 0.03854287788271904, 0.038212161511182785, 0.03977351635694504, 0.039208315312862396, 0.0336654931306839, 0.03964025899767876, 0.044971853494644165, 0.03976647928357124, 0.05601896718144417, 0.03910359740257263, 0.0524221807718277, 0.05213722586631775, 0.03720654547214508, 0.0447639599442482, 0.047072652727365494]","[0.039244157427292994, 0.03829010310462033, 0.05203602980922992, 0.05288684888426724, 0.03968429303777292, 0.031321619581103875, 0.029766413283527273, 0.036153291430881945, 0.038111140153682055, 0.03854287895959464, 0.03821216257881828, 0.03977351746820428, 0.039208316408330106, 0.03366549407128694, 0.03964026010521483, 0.04497185475114328, 0.039766480394633874, 0.05601896874659608, 0.03910359849511456, 0.05242218223648656, 0.05213722732301506, 0.03720654651168399, 0.044763961194938834, 0.04707265404256026]",-0.0,True,24,6,-1.0527992248535156,0.0,0.0,1,1,0,0,0.0,[0],[],[],[],"{""0"": 0.3874467952163693}",[],,[],{},{},{},0,0,,
3,0,7,0,0,adversary,forced_step:single-child,2,5,36,controller,adversary,16,"ControllerAction(token_budget=2560, selected_request_ids=[0], token_allocations={0: 2560}, prefill_allocations={0: 2560}, decode_allocations={}, heuristic='SJF', strategy='Fixed', mapping=None)",0.18809510359895396,[],[],-0.0,False,1,0,,0.0,0.11078464659957436,5,5,0,0,0.0,"[0, 1, 2, 3, 4]",[],[],[],{},[],,[],{},{},{},0,0,,
3,0,7,0,0,adversary,trivial-multiple-child,3,36,56,adversary,controller,0,"AdversaryAction(requests=[], stop_decode_ids=[])",1.0,"[0.039254698902368546, 0.03815161809325218, 0.052332840859889984, 0.05323899909853935, 0.039724912494421005, 0.031080299988389015, 0.02951039932668209, 0.035839565098285675, 0.037959370762109756, 0.03836079314351082, 0.03823274001479149, 0.03978722542524338, 0.03920544311404228, 0.03363875672221184, 0.03964509069919586, 0.04512014612555504, 0.03980472311377525, 0.05626359209418297, 0.03914053738117218, 0.05269995704293251, 0.05221611261367798, 0.036824680864810944, 0.04484134912490845, 0.04712614417076111]","[0.039254699048603695, 0.038151618235378035, 0.05233284105484501, 0.05323899929687008, 0.039724912642407836, 0.031080300104172155, 0.029510399436616895, 0.03583956523179846, 0.03795937090351943, 0.03836079328641591, 0.038232740157219544, 0.03978722557346234, 0.03920544326009394, 0.03363875684752597, 0.039645090846885334, 0.04512014629364068, 0.0398047232620594, 0.05626359230378118, 0.039140537526982044, 0.05269995723925515, 0.052216112808198156, 0.03682468100199357, 0.04484134929195549, 0.047126144346319676]",-0.0,True,24,12,-1.0666953325271606,0.0,0.11078464659957436,5,5,0,0,0.0,"[0, 1, 2, 3, 4]",[],[],[],{},[],,[],{},{},{},0,0,,
