Batch Id,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_num_completed_prefills,batch_execution_time,kv_free_blocks_before,kv_free_blocks_after,batch_request_ids,num_requests_not_selected,num_requests_initiated_not_completed,num_decode_phase_total,num_prefill_queue_total,num_not_initiated_in_queue,total_requests_batch_start,replica
82,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,1
84,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,1
85,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,1
86,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,1
87,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,1
88,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,1
89,2,0,2,2,0,0.007717,29282,29282,0;1,0,2,2,0,0,2,1
90,2,0,2,2,0,0.007717,29282,29282,0;1,0,2,2,0,0,2,1
91,2,0,2,2,0,0.007717,29282,29282,0;1,0,2,2,0,0,2,1
92,2,0,2,2,0,0.007717,29282,29282,0;1,0,2,2,0,0,2,1
93,2,0,2,2,0,0.007717,29282,29282,0;1,0,2,2,0,0,2,1
94,2,0,2,2,0,0.007717,29282,29282,0;1,0,2,2,0,0,2,1
95,2,0,2,2,0,0.007717,29282,29282,0;1,0,2,2,0,0,2,1
96,2,0,2,2,0,0.007717,29282,29282,0;1,0,2,2,0,0,2,1
97,2,0,2,2,0,0.007717,29282,29282,0;1,0,2,2,0,0,2,1
98,2,0,2,2,0,0.007717,29282,29282,0;1,0,2,2,0,0,2,1
99,2,0,2,2,0,0.007717,29277,29277,0;1,0,2,2,0,0,2,1
100,2,0,2,2,0,0.007717,29277,29277,0;1,0,2,2,0,0,2,1
101,512,510,2,3,0,0.022823,29241,29241,0;1;2,0,3,2,1,0,3,1
102,512,510,2,3,0,0.023321,29209,29209,0;1;2,0,3,2,1,0,3,1
103,512,510,2,3,0,0.023765,29177,29177,0;1;2,0,3,2,1,0,3,1
104,512,510,2,3,0,0.024244,29145,29145,0;1;2,0,3,2,1,0,3,1
