Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica,__source__
0,8.53016,0.01706,8.53016,0.01706,8.53016,0.01706,0.0,0.0,8.53016,0.01706,0.364484,5e-05,0.364484,5e-05,0.016331,0.743513,7770.0,7270.0,0.0,500.0,14.54,0.0,0.743513,0,baseline
1,8.369859,0.017081,8.32155,0.016983,8.32155,0.016983,0.0,0.048308,8.32155,0.016983,0.430774,5.5e-05,0.382466,4.9e-05,0.016202,0.288909,8324.0,7834.0,512.0,490.0,15.987755,0.0,1.032422,0,baseline
2,24.059732,0.030302,24.059155,0.030301,24.059155,0.030301,0.0,0.000577,24.059155,0.030301,0.373319,4.8e-05,0.372743,4.8e-05,0.029832,0.978074,8542.0,7748.0,512.0,794.0,9.758186,0.0,2.010496,0,baseline
3,5.144937,0.016281,5.137354,0.016257,5.137354,0.016257,0.0,0.007583,5.137354,0.016257,0.126969,4.5e-05,0.119386,4.3e-05,0.01588,0.597619,3118.0,2802.0,512.0,316.0,8.867089,0.0,2.608115,0,baseline
4,0.422965,0.140988,0.37046,0.123487,0.37046,0.123487,0.0,0.052505,0.37046,0.123487,0.40733,5.6e-05,0.354826,4.9e-05,0.005212,0.049456,7275.0,7272.0,512.0,3.0,2424.0,0.0,2.65757,0,baseline
5,4.337389,0.025072,4.329705,0.025027,4.329705,0.025027,0.0,0.007684,4.329705,0.025027,0.247416,4.6e-05,0.239732,4.5e-05,0.023641,1.5,5519.0,5346.0,512.0,173.0,30.901734,0.0,4.15757,0,baseline
6,20.088488,0.044345,20.082434,0.044332,20.082434,0.044332,0.0,0.006054,20.082434,0.044332,1.492815,6.3e-05,1.486762,6.3e-05,0.04105,0.715938,24106.0,23653.0,512.0,453.0,52.214128,0.0,4.873509,0,baseline
7,21.411483,0.04675,20.730662,0.045263,20.730662,0.045263,0.0,0.680821,20.730662,0.045263,2.532636,9.2e-05,1.851815,6.8e-05,0.04122,0.77104,27858.0,27400.0,512.0,458.0,59.825328,0.0,5.644549,0,baseline
8,19.980476,0.049703,17.560587,0.043683,17.560587,0.043683,0.0,2.419889,17.560587,0.043683,3.059766,0.000278,0.639877,5.8e-05,0.042091,0.068548,11412.0,11010.0,512.0,402.0,27.38806,0.0,5.713097,0,baseline
9,28.560094,0.04682,25.832045,0.042348,25.832045,0.042348,0.0,2.728049,25.832045,0.042348,3.812737,0.000212,1.084688,6e-05,0.040569,0.299269,18572.0,17962.0,512.0,610.0,29.445902,0.0,6.012366,0,baseline
10,7.055492,0.099373,3.512062,0.049466,3.512062,0.049466,0.0,3.54343,3.512062,0.049466,4.382582,0.000312,0.839152,6e-05,0.037647,0.231651,14127.0,14056.0,512.0,71.0,197.971831,0.0,6.244018,0,baseline
11,26.773661,0.066601,23.732893,0.059037,23.732893,0.059037,0.0,3.040767,23.732893,0.059037,12.926128,0.000147,9.885361,0.000113,0.034447,1.307041,88083.0,87681.0,512.0,402.0,218.11194,0.0,7.551058,0,baseline
12,31.373881,0.057252,19.053565,0.034769,19.053565,0.034769,0.0,12.320315,19.053565,0.034769,12.776394,0.001869,0.456078,6.7e-05,0.033937,0.516223,7384.0,6836.0,512.0,548.0,12.474453,0.0,8.067281,0,baseline
13,24.390032,0.068898,12.509601,0.035338,12.509601,0.035338,0.0,11.88043,12.509601,0.035338,12.017147,0.004761,0.136717,5.4e-05,0.034952,0.86513,2878.0,2524.0,512.0,354.0,7.129944,0.0,8.932411,0,baseline
14,12.48868,0.892049,0.791865,0.056562,0.791865,0.056562,0.0,11.696815,0.791865,0.056562,12.122024,0.001547,0.425209,5.4e-05,0.02619,0.292967,7850.0,7836.0,512.0,14.0,559.714286,0.0,9.225378,0,baseline
15,17.305984,0.119352,5.344075,0.036856,5.344075,0.036856,0.0,11.961909,5.344075,0.036856,12.551662,0.001264,0.589753,5.9e-05,0.032788,0.128893,10075.0,9930.0,512.0,145.0,68.482759,0.0,9.354271,0,baseline
16,24.698915,0.069574,12.584553,0.035449,12.584553,0.035449,0.0,12.114362,12.584553,0.035449,12.199352,0.008549,0.08499,6e-05,0.03521,0.404374,1782.0,1427.0,512.0,355.0,4.019718,0.0,9.758645,0,baseline
17,29.054316,0.062348,16.914343,0.036297,16.914343,0.036297,0.0,12.139973,16.914343,0.036297,12.931178,0.000968,0.791204,5.9e-05,0.034599,0.032972,13824.0,13358.0,512.0,466.0,28.665236,0.0,9.791617,0,baseline
18,45.545664,0.049027,33.529095,0.036092,33.529095,0.036092,0.0,12.016569,33.529095,0.036092,13.42662,0.000639,1.410051,6.7e-05,0.034574,0.879059,21947.0,21018.0,512.0,929.0,22.624327,0.0,10.670677,0,baseline
19,26.089124,0.074754,13.203033,0.037831,13.203033,0.037831,0.0,12.886091,13.203033,0.037831,14.015802,0.000819,1.129711,6.6e-05,0.034594,0.49938,17470.0,17121.0,512.0,349.0,49.057307,0.0,11.170057,0,baseline
20,27.972066,0.0756,14.70432,0.039741,14.70432,0.039741,0.0,13.267746,14.70432,0.039741,15.222102,0.000567,1.954356,7.3e-05,0.034459,0.70959,27235.0,26865.0,512.0,370.0,72.608108,0.0,11.879647,0,baseline
21,31.35723,0.066015,16.39973,0.034526,16.39973,0.034526,0.0,14.9575,16.39973,0.034526,15.340301,0.002335,0.382801,5.8e-05,0.03372,0.218885,7046.0,6571.0,512.0,475.0,13.833684,0.0,12.098532,0,baseline
22,28.497485,0.067851,14.687864,0.034971,14.687864,0.034971,0.0,13.809621,14.687864,0.034971,14.174031,0.002192,0.364409,5.6e-05,0.034103,1.5,6886.0,6466.0,512.0,420.0,15.395238,0.0,13.598532,0,baseline
23,43.088335,0.050812,30.062775,0.035451,30.062775,0.035451,0.0,13.02556,30.062775,0.035451,13.751159,0.00116,0.725599,6.1e-05,0.034596,1.11803,12699.0,11851.0,512.0,848.0,13.975236,0.0,14.716562,0,baseline
24,17.269704,0.215871,4.307017,0.053838,4.307017,0.053838,0.0,12.962687,4.307017,0.053838,13.976682,0.000891,1.013995,6.5e-05,0.041163,0.753403,15764.0,15684.0,512.0,80.0,196.05,0.0,15.469965,0,baseline
25,26.222086,0.098951,12.391983,0.046762,12.391983,0.046762,0.0,13.830104,12.391983,0.046762,17.923778,0.000386,4.093674,8.8e-05,0.031314,0.108232,46699.0,46434.0,512.0,265.0,175.222642,0.0,15.578197,0,baseline
26,18.399285,0.707665,0.850112,0.032697,0.850112,0.032697,0.0,17.549173,0.850112,0.032697,17.664537,0.011287,0.115364,7.4e-05,0.02826,0.314355,1591.0,1565.0,512.0,26.0,60.192308,0.0,15.892553,0,baseline
27,42.851366,0.057519,25.237157,0.033875,25.237157,0.033875,0.0,17.61421,25.237157,0.033875,17.962643,0.002887,0.348433,5.6e-05,0.033408,0.022396,6967.0,6222.0,512.0,745.0,8.351678,0.0,15.914949,0,baseline
28,18.602791,1.691163,0.755692,0.068699,0.755692,0.068699,0.0,17.847099,0.755692,0.068699,18.325981,0.002365,0.478883,6.2e-05,0.025165,0.083789,7761.0,7750.0,512.0,11.0,704.545455,0.0,15.998738,0,baseline
29,38.109115,0.065255,20.39052,0.034915,20.39052,0.034915,0.0,17.718596,20.39052,0.034915,18.375756,0.001691,0.65716,6e-05,0.03379,0.574504,11451.0,10867.0,512.0,584.0,18.607877,0.0,16.573242,0,baseline
30,38.731698,0.062978,21.072282,0.034264,21.072282,0.034264,0.0,17.659416,21.072282,0.034264,17.770681,0.008934,0.111266,5.6e-05,0.034083,0.68278,2604.0,1989.0,512.0,615.0,3.234146,0.0,17.256021,0,baseline
31,28.317979,0.08232,12.073882,0.035098,12.073882,0.035098,0.0,16.244096,12.073882,0.035098,17.227066,0.001085,0.982969,6.2e-05,0.032241,1.5,16222.0,15878.0,512.0,344.0,46.156977,0.0,18.756021,0,baseline
32,27.219006,0.088087,10.226687,0.033096,10.226687,0.033096,0.0,16.992319,10.226687,0.033096,17.247976,0.003994,0.255657,5.9e-05,0.032269,0.197133,4627.0,4318.0,512.0,309.0,13.97411,0.0,18.953154,0,baseline
33,17.544141,17.544141,0.556626,0.556626,0.556626,0.556626,0.0,16.987515,0.556626,0.556626,17.544141,0.00189,0.556626,6e-05,0.0,0.231383,9285.0,9284.0,512.0,1.0,9284.0,0.0,19.184537,0,baseline
34,26.628748,0.111885,9.434864,0.039642,9.434864,0.039642,0.0,17.193884,9.434864,0.039642,19.096815,0.000716,1.90293,7.1e-05,0.031647,0.31702,26906.0,26668.0,512.0,238.0,112.05042,0.0,19.501557,0,baseline
