Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
0,8.530160,0.017060,8.530160,0.017060,8.530160,0.017060,0.000000,0.000000,8.530160,0.017060,0.364484,0.000050,0.364484,0.000050,0.016331,,,,7270,,,0,,2
1,8.369859,0.017081,8.321550,0.016983,8.321550,0.016983,0.000000,0.048308,8.321550,0.016983,0.430774,0.000055,0.382466,0.000049,0.016202,,,,7834,,,0,,2
2,24.059732,0.030302,24.059155,0.030301,24.059155,0.030301,0.000000,0.000577,24.059155,0.030301,0.373319,0.000048,0.372743,0.000048,0.029832,2.010496,8542.000000,7748.000000,512,794.000000,9.758186,0,2.010496,2
3,5.144937,0.016281,5.137354,0.016257,5.137354,0.016257,0.000000,0.007583,5.137354,0.016257,0.126969,0.000045,0.119386,0.000043,0.015880,0.597619,3118.000000,2802.000000,512,316.000000,8.867089,0,2.608115,2
4,0.422965,0.140988,0.370460,0.123487,0.370460,0.123487,0.000000,0.052505,0.370460,0.123487,0.407330,0.000056,0.354826,0.000049,0.005212,0.049456,7275.000000,7272.000000,512,3.000000,2424.000000,0,2.657570,2
5,4.337389,0.025072,4.329705,0.025027,4.329705,0.025027,0.000000,0.007684,4.329705,0.025027,0.247416,0.000046,0.239732,0.000045,0.023641,1.500000,5519.000000,5346.000000,512,173.000000,30.901734,0,4.157570,2
6,20.088488,0.044345,20.082434,0.044332,20.082434,0.044332,0.000000,0.006054,20.082434,0.044332,1.492815,0.000063,1.486762,0.000063,0.041050,0.715938,24106.000000,23653.000000,512,453.000000,52.214128,0,4.873509,2
7,21.411483,0.046750,20.730662,0.045263,20.730662,0.045263,0.000000,0.680821,20.730662,0.045263,2.532636,0.000092,1.851815,0.000068,0.041220,0.771040,27858.000000,27400.000000,512,458.000000,59.825328,0,5.644549,2
8,19.980476,0.049703,17.560587,0.043683,17.560587,0.043683,0.000000,2.419889,17.560587,0.043683,3.059766,0.000278,0.639877,0.000058,0.042091,0.068548,11412.000000,11010.000000,512,402.000000,27.388060,0,5.713097,2
9,28.560094,0.046820,25.832045,0.042348,25.832045,0.042348,0.000000,2.728049,25.832045,0.042348,3.812737,0.000212,1.084688,0.000060,0.040569,0.299269,18572.000000,17962.000000,512,610.000000,29.445902,0,6.012366,2
