batch_id,request_id,slo_type,slo_remaining_ms,only_in_queue,added_in_last_batch,request_type_after_batch,kv_context_len_tokens,prefill_len_tokens,prefill_remaining_tokens,replica
0,0,TTFT,0,False,True,prefill,512,7270,6758,0
1,0,TTFT,0,False,True,prefill,1024,7270,6246,0
2,0,TTFT,0,False,True,prefill,1536,7270,5734,0
3,0,TTFT,0,False,True,prefill,2048,7270,5222,0
4,0,TTFT,0,False,True,prefill,2560,7270,4710,0
5,0,TTFT,0,False,True,prefill,3072,7270,4198,0
6,0,TTFT,0,False,True,prefill,3584,7270,3686,0
7,0,TTFT,0,False,True,prefill,4096,7270,3174,0
8,0,TTFT,0,False,True,prefill,4608,7270,2662,0
9,0,TTFT,0,False,True,prefill,5120,7270,2150,0
10,0,TTFT,0,False,True,prefill,5632,7270,1638,0
11,0,TTFT,0,False,True,prefill,6144,7270,1126,0
12,0,TTFT,0,False,True,prefill,6656,7270,614,0
12,1,TTFT,0,True,False,prefill,512,7834,7322,0
13,0,TTFT,0,False,True,prefill,7168,7270,102,0
13,1,TTFT,0,True,False,prefill,512,7834,7322,0
14,0,TBT,0,False,True,decode,7264,7270,0,0
14,1,TTFT,0,False,True,prefill,912,7834,6922,0
15,0,TBT,0,False,True,decode,7264,7270,0,0
15,1,TTFT,0,False,True,prefill,1424,7834,6410,0
16,0,TBT,0,False,True,decode,7264,7270,0,0
16,1,TTFT,0,False,True,prefill,1936,7834,5898,0
17,0,TBT,0,False,True,decode,7264,7270,0,0
17,1,TTFT,0,False,True,prefill,2448,7834,5386,0
18,0,TBT,0,False,True,decode,7264,7270,0,0
18,1,TTFT,0,False,True,prefill,2960,7834,4874,0
19,0,TBT,0,False,True,decode,7264,7270,0,0
19,1,TTFT,0,False,True,prefill,3472,7834,4362,0
20,0,TBT,0,False,True,decode,7264,7270,0,0
20,1,TTFT,0,False,True,prefill,3984,7834,3850,0
21,0,TBT,0,False,True,decode,7264,7270,0,0
21,1,TTFT,0,False,True,prefill,4496,7834,3338,0
22,0,TBT,0,False,True,decode,7264,7270,0,0
22,1,TTFT,0,False,True,prefill,5008,7834,2826,0
23,0,TBT,0,False,True,decode,7280,7270,0,0
23,1,TTFT,0,False,True,prefill,5520,7834,2314,0
24,0,TBT,0,False,True,decode,7280,7270,0,0
24,1,TTFT,0,False,True,prefill,6032,7834,1802,0
25,0,TBT,0,False,True,decode,7280,7270,0,0
25,1,TTFT,0,False,True,prefill,6528,7834,1306,0
26,0,TBT,0,False,True,decode,7280,7270,0,0
26,1,TTFT,0,False,True,prefill,7040,7834,794,0
27,0,TBT,0,False,True,decode,7280,7270,0,0
27,1,TTFT,0,False,True,prefill,7552,7834,282,0
28,0,TBT,0,False,True,decode,7280,7270,0,0
28,1,TBT,0,False,True,decode,7824,7834,0,0
29,0,TBT,0,False,True,decode,7280,7270,0,0
29,1,TBT,0,False,True,decode,7824,7834,0,0
30,0,TBT,0,False,True,decode,7280,7270,0,0
30,1,TBT,0,False,True,decode,7824,7834,0,0
31,0,TBT,0,False,True,decode,7280,7270,0,0
31,1,TBT,0,False,True,decode,7824,7834,0,0
32,0,TBT,0,False,True,decode,7280,7270,0,0
32,1,TBT,0,False,True,decode,7824,7834,0,0
33,0,TBT,0,False,True,decode,7280,7270,0,0
33,1,TBT,0,False,True,decode,7840,7834,0,0
34,0,TBT,0,False,True,decode,7280,7270,0,0
34,1,TBT,0,False,True,decode,7840,7834,0,0
35,0,TBT,0,False,True,decode,7280,7270,0,0
35,1,TBT,0,False,True,decode,7840,7834,0,0
36,0,TBT,0,False,True,decode,7280,7270,0,0
36,1,TBT,0,False,True,decode,7840,7834,0,0
37,0,TBT,0,False,True,decode,7280,7270,0,0
37,1,TBT,0,False,True,decode,7840,7834,0,0
38,0,TBT,0,False,True,decode,7280,7270,0,0
38,1,TBT,0,False,True,decode,7840,7834,0,0
39,0,TBT,0,False,True,decode,7296,7270,0,0
39,1,TBT,0,False,True,decode,7840,7834,0,0
40,0,TBT,0,False,True,decode,7296,7270,0,0
40,1,TBT,0,False,True,decode,7840,7834,0,0
41,0,TBT,0,False,True,decode,7296,7270,0,0
41,1,TBT,0,False,True,decode,7840,7834,0,0
42,0,TBT,0,False,True,decode,7296,7270,0,0
42,1,TBT,0,False,True,decode,7840,7834,0,0
43,0,TBT,0,False,True,decode,7296,7270,0,0
43,1,TBT,0,False,True,decode,7840,7834,0,0
44,0,TBT,0,False,True,decode,7296,7270,0,0
44,1,TBT,0,False,True,decode,7840,7834,0,0
45,0,TBT,0,False,True,decode,7296,7270,0,0
45,1,TBT,0,False,True,decode,7840,7834,0,0
46,0,TBT,0,False,True,decode,7296,7270,0,0
46,1,TBT,0,False,True,decode,7840,7834,0,0
47,0,TBT,0,False,True,decode,7296,7270,0,0
47,1,TBT,0,False,True,decode,7840,7834,0,0
48,0,TBT,0,False,True,decode,7296,7270,0,0
48,1,TBT,0,False,True,decode,7840,7834,0,0
49,0,TBT,0,False,True,decode,7296,7270,0,0
49,1,TBT,0,False,True,decode,7856,7834,0,0
50,0,TBT,0,False,True,decode,7296,7270,0,0
50,1,TBT,0,False,True,decode,7856,7834,0,0
51,0,TBT,0,False,True,decode,7296,7270,0,0
51,1,TBT,0,False,True,decode,7856,7834,0,0
52,0,TBT,0,False,True,decode,7296,7270,0,0
52,1,TBT,0,False,True,decode,7856,7834,0,0
53,0,TBT,0,False,True,decode,7296,7270,0,0
53,1,TBT,0,False,True,decode,7856,7834,0,0
54,0,TBT,0,False,True,decode,7296,7270,0,0
54,1,TBT,0,False,True,decode,7856,7834,0,0
55,0,TBT,0,False,True,decode,7312,7270,0,0
55,1,TBT,0,False,True,decode,7856,7834,0,0
56,0,TBT,0,False,True,decode,7312,7270,0,0
56,1,TBT,0,False,True,decode,7856,7834,0,0
57,0,TBT,0,False,True,decode,7312,7270,0,0
57,1,TBT,0,False,True,decode,7856,7834,0,0
58,0,TBT,0,False,True,decode,7312,7270,0,0
58,1,TBT,0,False,True,decode,7856,7834,0,0
59,0,TBT,0,False,True,decode,7312,7270,0,0
59,1,TBT,0,False,True,decode,7856,7834,0,0
60,0,TBT,0,False,True,decode,7312,7270,0,0
60,1,TBT,0,False,True,decode,7856,7834,0,0
61,0,TBT,0,False,True,decode,7312,7270,0,0
61,1,TBT,0,False,True,decode,7856,7834,0,0
62,0,TBT,0,False,True,decode,7312,7270,0,0
62,1,TBT,0,False,True,decode,7856,7834,0,0
63,0,TBT,0,False,True,decode,7312,7270,0,0
63,1,TBT,0,False,True,decode,7856,7834,0,0
64,0,TBT,0,False,True,decode,7312,7270,0,0
64,1,TBT,0,False,True,decode,7856,7834,0,0
65,0,TBT,0,False,True,decode,7312,7270,0,0
65,1,TBT,0,False,True,decode,7872,7834,0,0
66,0,TBT,0,False,True,decode,7312,7270,0,0
66,1,TBT,0,False,True,decode,7872,7834,0,0
67,0,TBT,0,False,True,decode,7312,7270,0,0
67,1,TBT,0,False,True,decode,7872,7834,0,0
68,0,TBT,0,False,True,decode,7312,7270,0,0
68,1,TBT,0,False,True,decode,7872,7834,0,0
69,0,TBT,0,False,True,decode,7312,7270,0,0
69,1,TBT,0,False,True,decode,7872,7834,0,0
70,0,TBT,0,False,True,decode,7312,7270,0,0
70,1,TBT,0,False,True,decode,7872,7834,0,0
71,0,TBT,0,False,True,decode,7328,7270,0,0
71,1,TBT,0,False,True,decode,7872,7834,0,0
72,0,TBT,0,False,True,decode,7328,7270,0,0
72,1,TBT,0,False,True,decode,7872,7834,0,0
73,0,TBT,0,False,True,decode,7328,7270,0,0
73,1,TBT,0,False,True,decode,7872,7834,0,0
74,0,TBT,0,False,True,decode,7328,7270,0,0
74,1,TBT,0,False,True,decode,7872,7834,0,0
75,0,TBT,0,False,True,decode,7328,7270,0,0
75,1,TBT,0,False,True,decode,7872,7834,0,0
76,0,TBT,0,False,True,decode,7328,7270,0,0
76,1,TBT,0,False,True,decode,7872,7834,0,0
