Batch Id,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_num_completed_prefills,batch_execution_time,kv_free_blocks_before,kv_free_blocks_after,batch_request_ids,num_requests_not_selected,num_requests_initiated_not_completed,num_decode_phase_total,num_prefill_queue_total,num_not_initiated_in_queue,total_requests_batch_start,replica
0,512,512,0,1,0,0.021144,30172,30172,0,0,1,0,1,0,1,0
1,512,512,0,1,0,0.021484,30140,30140,0,0,1,0,1,0,1,0
2,512,512,0,1,0,0.021982,30108,30108,0,0,1,0,1,0,1,0
3,512,512,0,1,0,0.022426,30076,30076,0,0,1,0,1,0,1,0
4,512,512,0,1,0,0.022905,30044,30044,0,0,1,0,1,0,1,0
5,512,512,0,1,0,0.023417,30012,30012,0,0,1,0,1,0,1,0
6,512,512,0,1,0,0.023840,29980,29980,0,0,1,0,1,0,1,0
7,512,512,0,1,0,0.024395,29948,29948,0,0,1,0,1,0,1,0
8,512,512,0,1,0,0.024858,29916,29916,0,0,1,0,1,0,1,0
9,512,512,0,1,0,0.025252,29884,29884,0,0,1,0,1,0,1,0
10,512,512,0,1,0,0.025757,29852,29852,0,0,1,0,1,0,1,0
11,512,512,0,1,0,0.026199,29820,29820,0,0,1,0,1,0,1,0
12,512,512,0,1,0,0.026519,29788,29788,0,0,1,0,1,0,1,0
13,512,512,0,1,0,0.027041,29756,29756,0,1,1,0,2,0,2,0
14,512,512,0,2,1,0.027267,29719,29719,0;1,0,2,0,2,0,2,0
15,512,511,1,2,0,0.023230,29687,29687,0;1,0,2,1,1,0,2,0
16,512,511,1,2,0,0.023721,29655,29655,0;1,0,2,1,1,0,2,0
17,512,511,1,2,0,0.024030,29623,29623,0;1,0,2,1,1,0,2,0
18,512,511,1,2,0,0.024665,29591,29591,0;1,0,2,1,1,0,2,0
19,512,511,1,2,0,0.025134,29559,29559,0;1,0,2,1,1,0,2,0
20,512,511,1,2,0,0.025439,29527,29527,0;1,0,2,1,1,0,2,0
