prefill_tokens,prefill_time_seconds
128,0.01932682079875486
256,0.025109807795321116
384,0.03276827850635015
512,0.04103565529867791
640,0.050990691658614355
768,0.05426998732115166
896,0.06704297505796793
1024,0.07566135636967546
1152,0.08134666756384458
1280,0.08571655357211265
1408,0.10170016293851813
1536,0.10655584098724606
1664,0.1142185954849327
1792,0.1243317685635922
1920,0.1305555775248162
2048,0.13969561091749774
2176,0.15708436830528105
2304,0.16299781153243162
2432,0.16933131751496783
2560,0.1732052499591176
2688,0.18676145007803774
2816,0.19526005940870245
2944,0.20567773330726682
3072,0.20731766102032306
3200,0.22064643967553618
3328,0.22133885975672027
3456,0.23797821105603265
3584,0.25278558278452723
3712,0.25918116145358877
3840,0.2644236385484019
3968,0.2778690936501852
4096,0.28229882891594305
